,ALA,CEA,CWP,NEA,NEF,NPL,NWP,SEA,SPL,SWP,CAN,USA,USC
1965,-0.07,-0.61,-0.6,-1.0,-1.53,1.06,-0.82,-0.72,-0.27,-0.04,-1.3,-0.58,-0.81
1965,-0.59,-1.02,-0.8,0.07,-1.75,0.64,-1.58,-1.26,-1.93,0.48,-1.89,-1.28,-1.61
1965,0.51,-0.3,0.83,-0.45,-2.79,0.97,0.27,-0.95,-1.21,1.69,-2.07,-0.12,-0.9
1965,0.3,-1.38,-1.11,-1.83,-1.63,1.23,-1.77,-1.87,-0.75,-1.36,-1.8,-1.97,-2.09
1965,0.67,-1.26,-0.13,-0.46,-1.78,0.93,-0.09,-1.31,-0.56,-0.31,-1.37,-1.16,-1.35
1965,0.43,-1.42,0.06,-1.47,-1.77,1.28,-0.43,-1.17,-1.23,-0.41,-1.35,-1.25,-1.47
1965,0.47,-2.01,0.84,-1.86,-1.3,0.82,0.23,-1.39,-0.62,0.89,-0.97,-1.4,-1.49
1965,-0.22,-1.85,0.07,-1.77,-0.83,1.2,-0.59,-0.46,0.36,0.74,-0.8,-1.0,-1.13
1965,1.42,-1.1,0.51,-0.32,1.1,1.06,0.63,-0.94,-0.25,0.6,1.47,-0.33,0.32
1965,0.14,-0.87,1.02,-0.37,0.26,1.46,1.12,-0.48,0.18,1.06,0.97,-0.19,0.28
1965,0.72,-0.45,0.65,-1.11,-0.48,0.98,1.04,-0.49,0.78,1.63,0.43,0.37,0.44
1966,0.25,-0.04,0.88,1.11,0.39,0.81,0.92,0.32,0.3,0.36,1.06,0.45,0.71
1966,-0.07,-0.69,-0.27,0.89,-0.42,0.99,0.17,-0.76,-0.47,-0.39,0.05,-0.64,-0.46
1966,1.78,-0.45,0.43,-0.26,-0.09,1.47,0.67,-0.67,-1.14,-0.41,0.43,-0.19,0.02
1966,-0.36,-0.43,-0.28,-0.45,-1.25,1.03,-0.64,-0.8,-0.8,0.78,-1.19,-0.63,-0.93
1966,1.44,-1.18,-1.2,-0.57,-1.11,1.34,-1.15,0.3,0.23,0.5,-1.14,-0.13,-0.7
1966,1.32,-1.56,-0.71,-1.12,-0.94,0.65,0.58,-0.58,-0.88,-0.1,-0.49,-0.93,-0.79
1966,0.45,-0.63,0.05,0.3,-1.11,1.15,-0.25,-0.72,-0.66,-0.46,-0.75,-0.6,-0.76
1966,0.97,-1.26,-0.61,-0.21,-0.62,0.47,-0.53,-1.34,-1.52,0.29,-0.72,-1.09,-1.15
1966,1.59,0.02,-0.46,0.18,-0.79,0.7,0.12,-1.25,-2.11,-0.72,-0.42,-0.12,-0.31
1966,1.05,-1.9,-0.48,-1.07,-1.04,0.92,-0.32,-1.25,-1.32,-0.62,-0.95,-1.64,-1.88
1966,-0.26,-0.7,0.07,-2.56,-0.84,-0.31,-0.09,-1.41,-1.62,-0.05,-0.72,-1.25,-1.23
1966,1.36,-0.73,0.87,-1.11,0.66,0.57,1.26,-0.45,-1.38,0.01,1.19,0.02,0.45
1967,0.71,-0.02,0.49,-0.7,0.46,0.84,0.51,-0.41,-0.93,-0.05,0.72,0.07,0.3
1967,0.49,-0.88,-0.79,-0.25,-0.21,1.33,-0.45,-0.8,-0.81,-0.51,-0.27,-0.67,-0.58
1967,-1.26,-0.31,0.64,-1.07,-0.7,0.32,0.34,-1.06,-0.69,0.06,-0.32,-0.73,-0.64
1967,-1.12,0.16,0.91,-0.31,-0.59,1.09,0.32,-0.04,-0.19,0.19,-0.21,-0.03,-0.1
1967,-0.15,0.42,-0.83,0.9,-0.39,0.96,-0.43,-0.21,-0.33,0.08,-0.31,-0.06,-0.21
1967,0.07,-0.36,1.05,-1.12,-0.38,0.79,0.78,0.89,0.46,0.82,0.06,0.54,0.35
1967,0.9,-0.23,0.11,-1.21,-0.26,0.75,-0.03,-1.0,-0.26,0.19,-0.15,-0.12,-0.15
1967,0.86,-0.63,-0.33,-1.39,-0.75,0.82,-0.01,-0.19,0.05,0.59,-0.59,0.07,-0.22
1967,2.38,-0.72,0.13,-0.8,-0.53,0.91,0.67,-0.44,-0.02,0.21,0.01,1.18,0.82
1967,1.28,-0.92,0.97,-1.07,0.59,0.92,1.62,-1.2,-0.88,-0.86,1.58,-0.68,0.06
1967,-0.06,-1.26,-0.73,-0.37,1.1,1.1,-0.61,-1.0,-0.54,0.28,0.41,-1.3,-0.77
1967,0.17,0.76,-0.51,-0.09,0.76,0.81,-0.21,0.67,0.07,-0.54,0.41,0.49,0.52
1968,-0.51,-0.93,0.21,-0.37,2.16,1.02,0.51,-0.11,-0.18,-0.02,1.72,-0.61,0.13
1968,0.87,-0.85,0.58,0.32,-0.05,1.06,0.55,-0.35,-0.13,0.41,0.5,0.03,0.17
1968,1.52,-0.94,0.25,-1.07,0.29,0.89,0.57,-1.58,-1.4,-0.31,0.53,-0.81,-0.39
1968,0.72,-0.66,-1.55,-0.87,-0.15,1.15,-1.09,-0.9,-0.67,-0.56,-0.49,-0.92,-0.87
1968,0.42,0.01,0.3,-0.57,-1.03,1.07,0.15,-1.79,-0.76,-0.49,-0.76,-0.8,-0.86
1968,0.94,0.44,-0.58,-0.24,-0.77,1.01,0.53,-1.6,-0.78,-0.79,-0.3,-0.45,-0.41
1968,0.95,-0.74,0.55,-0.96,-0.53,0.95,0.17,-0.67,0.39,-0.5,-0.22,-0.18,-0.22
1968,0.78,-0.39,1.88,0.26,-0.54,0.89,1.51,-0.58,0.07,-0.24,0.43,0.19,0.34
1968,1.41,-0.83,0.13,-0.99,0.15,1.2,0.69,-1.09,-0.38,-0.26,0.57,-0.06,0.26
1968,1.42,-1.07,1.36,-0.07,-0.68,1.69,1.78,-0.75,-0.54,-0.25,0.8,-0.3,0.07
1968,1.76,0.2,0.62,0.65,0.15,0.57,0.81,-1.87,-1.34,-0.19,0.67,0.1,0.37
1968,0.13,-1.37,1.45,0.93,-0.14,1.05,1.13,-2.0,-0.97,-0.12,0.81,-1.13,-0.54
1969,-0.71,-1.03,1.47,-0.2,0.19,0.67,1.03,-0.75,0.01,1.16,0.92,-0.43,-0.01
1969,0.72,0.42,1.45,-0.06,1.44,0.17,1.09,0.33,1.05,1.12,1.54,1.01,1.2
1969,-0.66,-0.07,-0.69,0.89,-0.4,1.27,-0.93,-0.36,-0.12,-0.15,-0.55,-0.44,-0.51
1969,2.1,-0.51,1.83,0.12,0.31,1.27,1.76,-0.97,-0.52,0.35,1.19,0.17,0.59
1969,0.71,-0.78,1.5,0.27,0.57,1.18,0.27,-1.43,-0.41,0.23,0.72,-0.65,0.03
1969,0.59,0.42,1.67,-0.03,0.45,1.29,1.29,-0.26,-0.36,-0.05,1.02,0.48,0.77
1969,0.66,0.91,-0.54,-0.46,0.7,0.28,-0.49,-0.68,-0.97,-0.47,0.31,0.08,0.21
1969,0.83,0.16,-0.82,0.96,0.76,1.24,0.12,0.46,0.03,-0.28,0.99,0.57,0.89
1969,0.92,0.38,0.75,-0.21,0.92,0.13,1.48,-1.03,-1.15,0.05,1.37,0.35,0.97
1969,0.48,0.45,0.47,1.19,-0.79,1.62,0.51,0.43,0.56,0.41,-0.01,0.9,0.8
