,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True
1014,1978.11.23,11/23/1978,1978,Unprovoked,USA,M,17.0,November,1978 November,False
1015,1977.03.13.a,3/13/1977,1977,,AUSTRALIA,M,45.0,March,1977 March,True
1016,1976.00.00.b,1/1/1976,1976,Unprovoked,USA,M,,January,1976 January,True
1017,1974.04.25.R,4/25/1974,1974,,BRAZIL,M,,April,1974 April,True
1018,1973.01.09,1/9/1973,1973,Unprovoked,USA,M,,January,1973 January,False
1019,1970.12.07,12/7/1970,1970,Unprovoked,MICRONESIA,M,,December,1970 December,False
1020,1970.10.24,10/24/1970,1970,Unprovoked,USA,M,,October,1970 October,False
1021,1970.00.00.h,,1970,Unprovoked,SRI LANKA,M,,,1970 nan,False
1022,1969.03.09,3/9/1969,1969,Unprovoked,USA,M,16.0,March,1969 March,False
1023,1968.09.22,9/22/1968,1968,,USA,,,September,1968 September,False
1024,1967.09.20,9/20/1967,1967,,USA,M,,September,1967 September,False
1025,1967.09.07.b,9/7/1967,1967,Provoked,NEW GUINEA,,,September,1967 September,False
1026,1966.09.19,9/19/1966,1966,Provoked,USA,M,20.0,September,1966 September,False
1027,1966.08.13,8/13/1966,1966,Unprovoked,ITALY,M,21.0,August,1966 August,False
1028,1966.07.17.a,7/17/1966,1966,Unprovoked,TAIWAN,M,20.0,July,1966 July,True
1029,1965.10.16.b,10/16/1965,1965,Unprovoked,BAHAMAS,M,32.0,October,1965 October,False
1030,1965.04.04.b,4/4/1965,1965,Unprovoked,PALAU,M,8.0,April,1965 April,False
1031,1963.09.29,9/29/1963,1963,Unprovoked,CHILE,M,,September,1963 September,True
1032,1962.11.25,11/25/1962,1962,,AUSTRALIA,M,,November,1962 November,False
1033,1962.06.11.b,6/11/1962,1962,Unprovoked,USA,M,31.0,June,1962 June,False
1034,1961.06.18,6/18/1961,1961,Unprovoked,USA,M,25.0,June,1961 June,False
1035,1961.01.05,1/5/1961,1961,Unprovoked,MOZAMBIQUE,M,,January,1961 January,False
1036,2020.07.29.b,7/29/2020,2020,Unprovoked,USA,M,38.0,July,2020 July,False
1037,2019.11.23.R,11/23/2019,2019,Provoked,MEXICO,M,,November,2019 November,False
1038,2019.09.15,9/15/2019,2019,Unprovoked,USA,F,22.0,September,2019 September,False
1039,2019.07.12,7/12/2019,2019,Unprovoked,USA,F,16.0,July,2019 July,False
1040,2019.05.09,5/9/2018,2019,Unprovoked,REUNION,M,28.0,May,2019 May,True
1041,2019.04.06.b,4/6/2019,2019,,USA,M,58.0,April,2019 April,False
1042,2019.03.05.a,3/5/2019,2019,Provoked,SOUTH AFRICA,M,46.0,March,2019 March,False
1043,2018.09.19.a,9/19/2018,2018,Unprovoked,AUSTRALIA,F,46.0,September,2018 September,False
1044,2017.11.30.b,11/30/2017,2017,Unprovoked,COSTA RICA,M,26.0,November,2017 November,False
1045,2017.11.13,11/13/2017,2017,Unprovoked,AUSTRALIA,M,25.0,November,2017 November,False
1046,2017.10.23.b,10/23/2017,2017,Unprovoked,USA,M,17.0,October,2017 October,False
1047,2017.09.25.b,9/25/2017,2017,Unprovoked,USA,M,,September,2017 September,False
1048,2017.09.15.a,9/15/2017,2017,,SAMOA,M,,September,2017 September,False
1049,2017.08.27,8/27/2017,2017,Unprovoked,USA,F,3.0,August,2017 August,False
1050,2017.07.24,7/24/2017,2017,Unprovoked,"ST HELENA, BRITISH OVERSEAS TERRITORY",M,37.0,July,2017 July,False
1051,2017.05.27,5/27/2017,2017,,AUSTRALIA,M,73.0,May,2017 May,False
1052,2017.03.07,3/7/2017,2017,Provoked,MEXICO,M,,March,2017 March,False
1053,2016.10.30,10/30/2016,2016,Unprovoked,USA,M,41.0,October,2016 October,False
1054,2016.06.27,6/27/2016,2016,Unprovoked,USA,M,35.0,June,2016 June,False
1055,2016.06.23,6/23/2016,2016,Unprovoked,SOUTH AFRICA,M,43.0,June,2016 June,False
1056,2016.06.02.b,6/2/2016,2016,Unprovoked,AUSTRALIA,M,,June,2016 June,False
1057,2016.03.28.a,3/28/2016,2016,Unprovoked,AUSTRALIA,M,41.0,March,2016 March,False
1058,2016.02.05,2/5/2016,2016,Unprovoked,AUSTRALIA,F,45.0,February,2016 February,False
1059,2015.09.06,9/6/2015,2015,Unprovoked,USA,F,50.0,September,2015 September,False
1060,2015.09.01,9/1/2015,2015,Unprovoked,THAILAND,F,37.0,September,2015 September,False
1061,2015.08.19,8/19/2015,2015,Unprovoked,USA,F,10.0,August,2015 August,False
1062,2014.12.28.c,12/28/2014,2014,,SOUTH AFRICA,,,December,2014 December,False
1063,2014.10.11,10/11/2014,2014,,AUSTRALIA,M,,October,2014 October,False
1064,2014.08.29.b,8/29/2014,2014,Unprovoked,USA,M,17.0,August,2014 August,False
1065,2014.07.22,7/22/2014,2014,Unprovoked,REUNION,M,51.0,July,2014 July,False
1066,2014.06.25,6/25/2014,2014,Unprovoked,BAHAMAS,M,42.0,June,2014 June,False
1067,2014.06.07,6/7/2014,2014,Unprovoked,USA,F,14.0,June,2014 June,False
1068,2013.11.23.a,11/23/2013,2013,Unprovoked,AUSTRALIA,M,35.0,November,2013 November,True
1069,2013.09.29.b,9/29/2013,2013,Unprovoked,USA,M,50.0,September,2013 September,False
1070,2013.08.29,8/29/2013,2013,,USA,F,47.0,August,2013 August,False
1071,2013.08.25,8/25/2013,2013,Unprovoked,AUSTRALIA,M,,August,2013 August,False
1072,2013.06.30,6/30/2013,2013,Unprovoked,TAIWAN,M,,June,2013 June,False
1073,2013.06.27,6/27/2013,2013,,JAMAICA,M,20.0,June,2013 June,False
1074,2013.04.24,4/24/2013,2013,Unprovoked,MEXICO,F,34.0,April,2013 April,False
1075,2012.12.00,12/1/2012,2012,Unprovoked,NEW ZEALAND,F,25.0,December,2012 December,False
1076,2012.10.16,10/16/2012,2012,,USA,M,,October,2012 October,False
1077,2012.09.08.a,9/8/2012,2012,Unprovoked,USA,M,,September,2012 September,False
1078,2012.08.04,8/4/2012,2012,Unprovoked,FRENCH POLYNESIA,M,,August,2012 August,False
1079,2012.06.18,6/18/2012,2012,Unprovoked,USA,F,6.0,June,2012 June,False
1080,2012.06.10,6/10/2012,2012,Provoked,ITALY,M,57.0,June,2012 June,False
1081,2012.04.19.b,4/19/2012,2012,Unprovoked,USA,M,28.0,April,2012 April,False
1082,2011.11.29,11/29/2011,2011,Unprovoked,INDONESIA,M,18.0,November,2011 November,False
1083,2011.10.02,10/2/2011,2011,Unprovoked,USA,M,,October,2011 October,False
1084,2011.09.24.a,9/24/2011,2011,Unprovoked,USA,M,5.0,September,2011 September,False
1085,2011.09.17,9/17/2011,2011,Unprovoked,KENYA,M,17.0,September,2011 September,True
1086,2011.08.11,,2011,Unprovoked,USA,M,54.0,,2011 nan,False
1087,2011.07.13.a,7/13/2011,2011,Unprovoked,BAHAMAS,M,54.0,July,2011 July,False
1088,2010.02.16,2/16/2010,2010,Unprovoked,SOUTH AFRICA,M,,February,2010 February,False
1089,2009.10.14.R,10/14/2009,2009,Unprovoked,AUSTRALIA,M,23.0,October,2009 October,False
1090,2009.07.31,7/31/2009,2009,Unprovoked,BAHAMAS,M,14.0,July,2009 July,False
1091,2009.04.28,4/28/2009,2009,Unprovoked,USA,F,,April,2009 April,False
1092,2008.12.06,12/6/2006,2008,,AUSTRALIA,,,December,2008 December,False
1093,2008.10.12,10/12/2008,2008,Provoked,AUSTRALIA,M,50.0,October,2008 October,False
1094,2008.09.14,9/14/2008,2008,Unprovoked,USA,M,32.0,September,2008 September,False
1095,2008.08.22,8/24/2008,2008,,USA,F,20.0,August,2008 August,False
1096,2008.07.13,7/13/2008,2008,,USA,M,52.0,July,2008 July,False
1097,2008.04.20.b,4/20/2008,2008,Unprovoked,USA,F,14.0,April,2008 April,False
1098,2008.03.25,3/25/2008,2008,Unprovoked,USA,M,15.0,March,2008 March,False
1099,2007.11.07,11/7/2007,2007,Unprovoked,SOUTH AFRICA,M,14.0,November,2007 November,False
1100,2007.09.08,9/8/2007,2007,Unprovoked,USA,F,58.0,September,2007 September,False
1101,2007.05.09.R,5/9/2007,2007,Unprovoked,SEYCHELLES,M,,May,2007 May,False
1102,2006.08.00.b,8/1/2006,2006,Unprovoked,USA,F,59.0,August,2006 August,False
1103,2006.06.27,6/27/2006,2006,Unprovoked,USA,F,9.0,June,2006 June,False
1104,2006.01.15,1/15/2006,2006,Unprovoked,AUSTRALIA,M,52.0,January,2006 January,False
1105,2005.09.02.a,9/2/2005,2005,Provoked,THAILAND,M,21.0,September,2005 September,True
1106,2005.07.17.b,7/17/2005,2005,,LIBERIA,M,,July,2005 July,False
1107,2005.07.15,7/15/2005,2005,Unprovoked,USA,M,22.0,July,2005 July,False
1108,2004.11.11.a,11/11/2004,2004,Unprovoked,VANUATU,M,35.0,November,2004 November,False
1109,2004.09.10,9/10/2004,2004,,USA,M,,September,2004 September,False
1110,2004.07.27.b,7/27/2004,2004,Unprovoked,USA,F,13.0,July,2004 July,False
1111,2003.10.24,10/24/2003,2003,,USA,M,56.0,October,2003 October,False
1112,2003.09.28,9/28/2003,2003,Unprovoked,USA,M,16.0,September,2003 September,False
1113,2003.09.14.a,9/14/2003,2003,,USA,F,9.0,September,2003 September,False
1114,2003.07.05.b,7/5/2003,2003,Provoked,USA,M,10.0,July,2003 July,False
1115,2003.03.10,3/10/2003,2003,Provoked,USA,F,,March,2003 March,False
1116,2002.08.05,8/5/2002,2002,Unprovoked,USA,M,14.0,August,2002 August,False
1117,2002.05.13,5/13/2002,2002,Unprovoked,USA,M,31.0,May,2002 May,False
1118,2001.09.07.a,9/7/2001,2001,,USA,F,,September,2001 September,False
1119,2001.03.03,3/3/2001,2001,Unprovoked,BRAZIL,M,20.0,March,2001 March,True
1120,2001.01.24.R,1/24/2001,2001,,AUSTRALIA,M,35.0,January,2001 January,False
1121,2000.11.18,11/17/2000,2000,Unprovoked,USA,M,73.0,November,2000 November,False
1122,2000.09.00.b,,2000,Unprovoked,TANZANIA,,,,2000 nan,True
1123,2000.08.11,8/11/2000,2000,,USA,M,,August,2000 August,False
1124,2000.08.10,8/10/2000,2000,,USA,M,,August,2000 August,False
1125,2000.07.12,7/12/2000,2000,Unprovoked,TONGA,M,69.0,July,2000 July,False
1126,1999.06.19,6/19/1999,1999,Unprovoked,USA,M,20.0,June,1999 June,False
1127,1999.01.29,1/29/1999,1999,Unprovoked,MAURITIUS,M,47.0,January,1999 January,False
1128,1998.12.20.R,12/20/1998,1998,Unprovoked,SOUTH AFRICA,M,18.0,December,1998 December,False
1129,1998.12.18,12/18/1998,1998,Unprovoked,SOUTH AFRICA,M,14.0,December,1998 December,False
1130,1998.01.25.b,1/25/1998,1998,Unprovoked,REUNION,M,,January,1998 January,True
1131,1997.10.28.a,10/28/1997,1997,Unprovoked,USA,M,19.0,October,1997 October,False
1132,1997.08.09,8/9/1997,1997,Unprovoked,USA,M,,August,1997 August,False
1133,1996.06.06,6/6/1996,1996,Unprovoked,AUSTRALIA,M,,June,1996 June,False
1134,1995.08.13.a,8/13/1995,1995,,USA,M,15.0,August,1995 August,False
1135,1995.07.24,7/24/1995,1995,Unprovoked,USA,F,7.0,July,1995 July,False
1136,1995.04.09.a,4/9/1995,1995,Unprovoked,JAPAN,M,47.0,April,1995 April,True
1137,1994.12.30,12/30/1994,1994,Unprovoked,SOUTH AFRICA,M,26.0,December,1994 December,False
1138,1993.03.27,3/27/1993,1993,Unprovoked,BRAZIL,M,,March,1993 March,False
1139,1992.12.23,12/23/1992,1992,Unprovoked,USA,M,30.0,December,1992 December,False
1140,1991.10.05,10/5/1991,1991,Unprovoked,USA,M,32.0,October,1991 October,False
1141,1991.08.30,8/30/1991,1991,Provoked,AUSTRALIA,M,36.0,August,1991 August,False
1142,1991.07.01.b,7/1/1991,1991,Unprovoked,REUNION,M,30.0,July,1991 July,False
1143,1991.07.01.a,7/1/1991,1991,Unprovoked,USA,M,32.0,July,1991 July,False
1144,1990.04.01,4/1/1990,1990,Unprovoked,USA,M,,April,1990 April,False
1145,1990.03.05,3/5/1990,1990,Unprovoked,REUNION,M,,March,1990 March,False
1146,1989.08.22.b,8/22/1989,1989,Unprovoked,USA,M,21.0,August,1989 August,False
1147,1989.03.04,3/4/1989,1989,,AUSTRALIA,M,,March,1989 March,False
1148,1987.12.20,12/20/1987,1987,,PHILIPPINES,,,December,1987 December,True
1149,1987.08.20,8/20/1987,1987,Unprovoked,USA,M,12.0,August,1987 August,False
1150,1986.02.17,2/17/1986,1986,Unprovoked,SOUTH AFRICA,M,,February,1986 February,False
1151,1985.07.19,7/19/1985,1985,Unprovoked,USA,F,10.0,July,1985 July,False
1152,1985.07.00,,1985,Unprovoked,ITALY,M,13.0,,1985 nan,False
1153,1984.11.04,11/4/1984,1984,Provoked,USA,M,29.0,November,1984 November,False
1154,1984.10.17,10/17/1984,1984,,USA,F,77.0,October,1984 October,False
1155,1984.08.24,8/24/1984,1984,,USA,F,31.0,August,1984 August,False
1156,1983.06.00,6/1/1983,1983,Unprovoked,BAHAMAS,M,,June,1983 June,False
1157,1983.01.24,1/24/1983,1983,Provoked,USA,M,43.0,January,1983 January,False
1158,1981.05.05,5/5/1981,1981,Unprovoked,SOUTH AFRICA,M,24.0,May,1981 May,False
1159,1978.00.00.a,1/1/1978,1978,Unprovoked,VANUATU,F,,January,1978 January,True
1160,1976.11.27,11/27/1976,1976,Unprovoked,SOUTH AFRICA,M,19.0,November,1976 November,False
1161,1976.11.23,11/23/1976,1976,,SOUTH AFRICA,M,17.0,November,1976 November,False
1162,1976.09.17,9/17/1976,1976,,HONG KONG,M,,September,1976 September,True
1163,1975.09.00,9/1/1975,1975,Unprovoked,SOUTH AFRICA,M,21.0,September,1975 September,False
1164,1975.03.09,3/9/1975,1975,Provoked,SOUTH AFRICA,M,,March,1975 March,False
1165,1974.01.09,1/9/1974,1974,Unprovoked,AUSTRALIA,M,26.0,January,1974 January,True
1166,1973.08.16,8/16/1973,1973,Unprovoked,USA,M,17.0,August,1973 August,False
1167,1972.12.26,12/26/1972,1972,Unprovoked,MOZAMBIQUE,M,25.0,December,1972 December,False
1168,1972.12.25,12/25/1972,1972,Unprovoked,MEXICO,M,17.0,December,1972 December,True
1169,1972.10.22,10/21/1972,1972,Unprovoked,AUSTRALIA,M,24.0,October,1972 October,False
1170,1971.09.07,9/7/1971,1971,Unprovoked,CROATIA,M,34.0,September,1971 September,True
1171,1971.04.16R,4/16/1971,1971,Unprovoked,KENYA,M,16.0,April,1971 April,False
1172,1970.12.17,12/17/1970,1970,Unprovoked,MOZAMBIQUE,M,18.0,December,1970 December,True
1173,1970.11.00,11/1/1970,1970,Unprovoked,NO COUNTRY REPORTED,M,,November,1970 November,False
1174,1970.09.05,9/5/1970,1970,Unprovoked,USA,M,18.0,September,1970 September,False
1175,1970.01.23.d,1/23/1970,1970,Unprovoked,MOZAMBIQUE,M,14.0,January,1970 January,False
1176,1969.05.14,5/14/1969,1969,Unprovoked,AUSTRALIA,,,May,1969 May,False
1177,1969.02.17.R,2/17/1969,1969,Provoked,AUSTRALIA,M,49.0,February,1969 February,False
1178,1968.11.04,11/4/1968,1968,,NEW GUINEA,M,,November,1968 November,False
1179,1967.11.30.b,11/30/1967,1967,Provoked,AUSTRALIA,M,15.0,November,1967 November,False
1180,1967.11.04,11/4/1967,1967,,PHILIPPINES,,,November,1967 November,True
1181,1967.08.00.b,8/1/1967,1967,Unprovoked,BAHAMAS,M,41.0,August,1967 August,False
1182,1967.07.05,7/5/1967,1967,Unprovoked,TURKEY,M,36.0,July,1967 July,True
1183,1967.03.01,3/1/1967,1967,Unprovoked,NEW GUINEA,M,14.0,March,1967 March,False
1184,1966.01.11,1/11/1966,1966,Unprovoked,SOUTH AFRICA,M,16.0,January,1966 January,False
1185,1965.11.03.b,11/3/1965,1965,,PANAMA,,,November,1965 November,False
1186,1965.06.00.b,6/1/1965,1965,Unprovoked,NEW GUINEA,M,,June,1965 June,False
1187,1965.01.23,1/23/1965,1965,Unprovoked,SOUTH AFRICA,M,22.0,January,1965 January,False
1188,1964.07.00.b,7/1/1964,1964,Unprovoked,NEW GUINEA,M,,July,1964 July,True
1189,1964.02.01,2/1/1964,1964,,NEW ZEALAND,,,February,1964 February,False
1190,1964.01.21,1/21/1964,1964,,SOUTH AFRICA,,,January,1964 January,False
1191,1962.11.29,11/29/1962,1962,Unprovoked,AUSTRALIA,M,26.0,November,1962 November,False
1192,1962.01.08,1/8/1962,1962,,AUSTRALIA,M,25.0,January,1962 January,False
1193,1961.09.24.b,9/24/1961,1961,Unprovoked,CROATIA,M,19.0,September,1961 September,True
1194,1961.04.21,4/21/1961,1961,Unprovoked,MOZAMBIQUE,M,37.0,April,1961 April,False
1195,2021.06.14.b,6/14/2021,2021,Unprovoked,USA,M,12.0,June,2021 June,False
1196,2020.09.21,9/21/2020,2020,,USA,F,61.0,September,2020 September,False
1197,2020.08.22,8/22/2020,2020,Unprovoked,USA,M,14.0,August,2020 August,False
1198,2019.12.30,12/30/2019,2019,Unprovoked,AUSTRALIA,M,35.0,December,2019 December,False
1199,2019.10.05.a,10/5/2019,2019,,USA,M,51.0,October,2019 October,False
1200,2019.09.24.a,9/24/2019,2019,Unprovoked,USA,M,13.0,September,2019 September,False
1201,2019.06.21,6/21/2019,2019,Unprovoked,BAHAMAS,M,,June,2019 June,False
1202,2019.05.04,5/4/2019,2019,Provoked,BRAZIL,M,12.0,May,2019 May,False
1203,2018.09.08.b,9/8/2018,2018,Unprovoked,USA,M,39.0,September,2018 September,False
1204,2018.08.19,8/18/2018,2018,Unprovoked,USA,M,14.0,August,2018 August,False
1205,2018.07.11.b,7/13/2018,2018,Unprovoked,USA,M,17.0,July,2018 July,False
1206,2018.05.26.a,5/26/2018,2018,Unprovoked,USA,M,12.0,May,2018 May,False
1207,2018.04.30.R,4/30/2018,2018,Unprovoked,THAILAND,F,,April,2018 April,False
1208,2018.04.25.a,4/25/2018,2018,Unprovoked,AUSTRALIA,M,60.0,April,2018 April,False
1209,2016.09.18.c,9/18/2016,2016,Unprovoked,USA,M,16.0,September,2016 September,False
1210,2016.07.15.a,7/15/2016,2016,Unprovoked,USA,M,,July,2016 July,False
1211,2016.04.07.b,4/7/2016,2016,Unprovoked,USA,M,34.0,April,2016 April,False
1212,2015.11.10,11/10/2015,2015,Unprovoked,AUSTRALIA,M,20.0,November,2015 November,False
1213,2015.07.26.b,7/26/2015,2015,Unprovoked,USA,M,25.0,July,2015 July,False
1214,2015.05.02,5/2/2015,2015,Unprovoked,SOUTH AFRICA,M,29.0,May,2015 May,False
1215,2015.04.25,4/25/2015,2015,Unprovoked,AUSTRALIA,M,26.0,April,2015 April,False
1216,2015.04.24.c,6/24/2015,2015,Unprovoked,AUSTRALIA,M,71.0,June,2015 June,False
1217,2015.03.07,3/7/2015,2015,Unprovoked,FRENCH POLYNESIA,M,1.5,March,2015 March,False
1218,2015.02.15,2/15/2015,2015,,ATLANTIC OCEAN,,,February,2015 February,False
1219,2015.01.19.b,1/19/2015,2015,,USA,M,,January,2015 January,False
1220,2014.11.10,11/10/2014,2014,Unprovoked,AUSTRALIA,M,,November,2014 November,False
1221,2014.11.08,11/8/2014,2014,Unprovoked,USA,M,18.0,November,2014 November,False
1222,2014.09.13.R,9/12/2014,2014,Unprovoked,FRENCH POLYNESIA,F,36.0,September,2014 September,False
1223,2014.08.09,8/9/2014,2014,Unprovoked,USA,F,10.0,August,2014 August,False
1224,2014.07.12,7/12/2014,2014,Unprovoked,USA,M,,July,2014 July,False
1225,2014.05.06,5/6/2014,2014,Unprovoked,USA,F,40.0,May,2014 May,False
1226,2014.02.07.b,2/7/2014,2014,Provoked,TRINIDAD & TOBAGO,M,,February,2014 February,False
1227,2014.01.04,1/4/2014,2014,,JAPAN,M,31.0,January,2014 January,False
1228,2013.12.02,12/2/2013,2013,Unprovoked,USA,M,57.0,December,2013 December,True
1229,2013.06.25.c,6/25/2013,2013,,USA,M,,June,2013 June,False
1230,2013.03.21,3/21/2013,2013,Unprovoked,BAHAMAS,M,50.0,March,2013 March,False
1231,2012.07.19,7/19/2012,2012,,CANADA,F,23.0,July,2012 July,False
1232,2012.06.26.c,6/26/2012,2012,Unprovoked,USA,M,6.0,June,2012 June,False
1233,2012.06.02.b,6/2/2012,2012,Unprovoked,USA,F,12.0,June,2012 June,False
1234,2012.05.16,5/16/2012,2012,Unprovoked,FIJI,M,20.0,May,2012 May,False
1235,2011.12.11,12/11/2011,2011,Unprovoked,AUSTRALIA,M,51.0,December,2011 December,False
1236,2011.09.30,9/30/2011,2011,,USA,M,27.0,September,2011 September,False
1237,2011.09.11.b,9/11/2011,2011,Unprovoked,USA,M,37.0,September,2011 September,False
1238,2011.09.04.b,9/4/2011,2011,Unprovoked,USA,,,September,2011 September,False
1239,2011.08.17.b.,8/17/2011,2011,,USA,M,12.0,August,2011 August,False
1240,2011.07.31,7/31/2011,2011,,BRAZIL,M,14.0,July,2011 July,False
1241,2011.03.10.R,3/10/2010,2011,,EGYPT,F,,March,2011 March,False
1242,2010.11.12.R,11/12/2010,2010,,AUSTRALIA,M,,November,2010 November,False
1243,2010.07.11,7/11/2010,2010,Provoked,USA,M,,July,2010 July,False
1244,2009.07.24.R,7/24/2009,2009,Unprovoked,KENYA,M,,July,2009 July,True
1245,2009.06.02.a,6/2/2009,2009,Unprovoked,EGYPT,M,,June,2009 June,False
1246,2009.04.11,4/11/2009,2009,,USA,M,49.0,April,2009 April,False
1247,2009.04.06.a,4/6/2009,2009,Unprovoked,USA,M,,April,2009 April,False
1248,2008.07.05,7/5/2008,2008,Unprovoked,USA,F,17.0,July,2008 July,False
1249,2008.05.26,5/26/2008,2008,Unprovoked,USA,M,9.0,May,2008 May,False
1250,2008.04.08.R,4/8/2008,2008,Unprovoked,USA,,,April,2008 April,False
1251,2007.11.04,11/4/2007,2007,Unprovoked,USA,M,42.0,November,2007 November,False
1252,2007.08.09.b,8/9/2007,2007,Unprovoked,USA,M,30.0,August,2007 August,False
1253,2007.05.12,5/12/2007,2007,Unprovoked,AUSTRALIA,M,19.0,May,2007 May,False
1254,2007.03.12,3/12/2007,2007,Unprovoked,AUSTRALIA,F,59.0,March,2007 March,False
1255,2006.03.22,3/22/2006,2006,,SOUTH AFRICA,M,17.0,March,2006 March,False
1256,2006.01.07,1/7/2006,2006,Unprovoked,AUSTRALIA,F,21.0,January,2006 January,True
1257,2006.01.04,1/4/2006,2006,Unprovoked,USA,M,21.0,January,2006 January,False
1258,2005.06.25,6/25/2005,2005,Unprovoked,USA,F,14.0,June,2005 June,True
1259,2005.04.13,4/13/2005,2005,Unprovoked,USA,F,70.0,April,2005 April,False
1260,2005.02.04,2/4/2005,2005,Unprovoked,BRAZIL,M,12.0,February,2005 February,False
1261,2005.01.19,1/19/2005,2005,Provoked,AUSTRALIA,M,,January,2005 January,False
1262,2004.10.10,10/10/2004,2004,Unprovoked,USA,M,,October,2004 October,False
1263,2004.07.15,7/15/2004,2004,Unprovoked,JAPAN,M,51.0,July,2004 July,False
1264,2003.11.22,11/22/2003,2003,Unprovoked,USA,F,35.0,November,2003 November,False
1265,2003.10.05.a,10/5/2003,2003,Unprovoked,USA,F,41.0,October,2003 October,False
1266,2003.09.19,9/19/2003,2003,Unprovoked,USA,M,19.0,September,2003 September,False
1267,2002.01.04,1/4/2002,2002,Unprovoked,SOUTH AFRICA,M,16.0,January,2002 January,False
1268,2001.08.05,8/5/2001,2001,Unprovoked,USA,F,,August,2001 August,False
1269,2001.08.04,8/4/2001,2001,Unprovoked,BAHAMAS,M,36.0,August,2001 August,False
1270,2001.07.25,7/25/2001,2001,Unprovoked,USA,M,,July,2001 July,False
1271,2001.06.03,6/3/2001,2001,Unprovoked,USA,F,29.0,June,2001 June,False
1272,2001.04.13.b,4/13/2001,2001,Unprovoked,USA,M,16.0,April,2001 April,False
1273,2000.06.10,6/10/2000,2000,Unprovoked,USA,M,17.0,June,2000 June,False
1274,1998.11.02.b,11/2/1998,1998,Provoked,JAPAN,M,52.0,November,1998 November,False
1275,1997.11.05.R,11/5/1997,1997,Unprovoked,USA,M,32.0,November,1997 November,False
1276,1997.10.04,10/4/1997,1997,Unprovoked,USA,F,14.0,October,1997 October,False
1277,1997.07.27,7/27/1997,1997,Unprovoked,AUSTRALIA,M,19.0,July,1997 July,False
1278,1997.06.07,6/7/1997,1997,Unprovoked,BRAZIL,M,,June,1997 June,False
1279,1996.10.00,10/1/1996,1996,Unprovoked,BRAZIL,,,October,1996 October,False
1280,1996.05.28,5/28/1996,1996,Unprovoked,SOUTH AFRICA,M,17.0,May,1996 May,False
1281,1996.04.25.a,4/25/1996,1996,Unprovoked,AUSTRALIA,F,16.0,April,1996 April,False
1282,1996.03.05,3/5/1996,1996,Unprovoked,AUSTRALIA,F,47.0,March,1996 March,False
1283,1996.02.19.R,2/19/1996,1996,Provoked,USA,F,32.0,February,1996 February,False
1284,1995.08.31.b,8/31/1995,1995,Unprovoked,USA,M,19.0,August,1995 August,False
1285,1995.05.24,5/24/1995,1995,Unprovoked,FIJI,M,69.0,May,1995 May,True
1286,1994.04.16,4/16/1994,1994,,USA,F,25.0,April,1994 April,False
1287,1994.04.02,4/2/1994,1994,Unprovoked,SOUTH AFRICA,M,,April,1994 April,True
1288,1994.02.13,2/13/1994,1994,Provoked,USA,M,,February,1994 February,False
1289,1993.11.12,11/12/1993,1993,Unprovoked,USA,M,,November,1993 November,False
1290,1992.07.08.b,7/8/1992,1992,Unprovoked,BRAZIL,M,,July,1992 July,False
1291,1992.06.17,6/17/1992,1992,,JAPAN,,,June,1992 June,False
1292,1992.06.00,6/1/1992,1992,Unprovoked,REUNION,,,June,1992 June,False
1293,1992.01.06,1/6/1992,1992,Unprovoked,MAURITIUS,M,,January,1992 January,False
1294,1990.06.24,6/24/1990,1990,Unprovoked,SOUTH AFRICA,F,21.0,June,1990 June,True
1295,1989.12.02,12/2/1989,1989,,AUSTRALIA,M,27.0,December,1989 December,False
1296,1989.08.29,8/29/1989,1989,Provoked,AUSTRALIA,M,30.0,August,1989 August,False
1297,1989.04.12,4/12/1989,1989,Unprovoked,USA,M,,April,1989 April,False
1298,1989.01.26.b,1/26/1989,1989,,USA,M,24.0,January,1989 January,False
1299,1988.10.11,10/11/1988,1988,Unprovoked,USA,M,30.0,October,1988 October,False
1300,1988.09.13.b,9/13/1988,1988,Unprovoked,USA,F,,September,1988 September,False
1301,1988.05.04,5/4/1988,1988,Unprovoked,USA,M,29.0,May,1988 May,False
1302,1988.04.15a,4/15/1988,1988,Unprovoked,USA,M,24.0,April,1988 April,False
1303,1988.03.16,3/16/1988,1988,Unprovoked,SOUTH AFRICA,M,17.0,March,1988 March,False
1304,1988.01.06,1/6/1988,1988,Provoked,SOUTH AFRICA,M,33.0,January,1988 January,False
1305,1987.07.21,7/21/1987,1987,Unprovoked,USA,M,27.0,July,1987 July,False
1306,1987.01.06,1/6/1987,1987,Unprovoked,AUSTRALIA,M,37.0,January,1987 January,False
1307,1986.12.31,12/31/1986,1986,Unprovoked,SOUTH AFRICA,M,,December,1986 December,False
1308,1986.08.00,8/1/1986,1986,Unprovoked,FRANCE,,,August,1986 August,False
1309,1986.04.00,4/1/1986,1986,Unprovoked,SPAIN,M,,April,1986 April,False
1310,1986.03.18,3/18/1986,1986,Unprovoked,SPAIN,M,,March,1986 March,False
1311,1985.07.25.b,7/25/1985,1985,Unprovoked,USA,F,13.0,July,1985 July,False
1312,1985.03.03,3/3/1985,1985,Unprovoked,AUSTRALIA,F,33.0,March,1985 March,True
1313,1985.00.00.f,1/1/1985,1985,Unprovoked,VANUATU,M,,January,1985 January,True
1314,1985.00.00.a,1/1/1985,1985,Unprovoked,IRAN,M,,January,1985 January,True
