,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
64,2017.04.14,4/14/2017,2017,Unprovoked,USA,M,28.0,April,2017 April,False,2.6,14
65,2017.04.12.b,4/12/2017,2017,Unprovoked,USA,F,,April,2017 April,False,2.6,14
66,2017.04.13,4/13/2017,2017,Unprovoked,USA,M,17.0,April,2017 April,False,2.6,14
67,2017.04.11,4/11/2017,2017,Unprovoked,USA,F,35.0,April,2017 April,False,2.6,14
68,2017.04.29.b,4/29/2017,2017,Unprovoked,USA,F,33.0,April,2017 April,False,2.6,14
69,2017.04.17.b,4/17/2017,2017,Unprovoked,USA,,,April,2017 April,False,2.6,14
70,2017.04.06,4/6/2017,2017,Unprovoked,USA,M,16.0,April,2017 April,False,2.6,14
71,2017.04.10.a,4/10/2017,2017,Unprovoked,USA,F,21.0,April,2017 April,False,2.6,14
72,2017.04.20,4/20/2017,2017,,USA,M,,April,2017 April,False,2.6,14
73,2017.04.05,4/5/2017,2017,Unprovoked,USA,F,51.0,April,2017 April,False,2.6,14
74,2017.04.26,4/26/2017,2017,,USA,F,,April,2017 April,False,2.6,14
75,2017.04.29.d,4/29/2017,2017,Unprovoked,USA,F,,April,2017 April,False,2.6,14
76,2017.04.10.b,4/10/2017,2017,Unprovoked,USA,F,10.0,April,2017 April,False,2.6,14
77,2017.02.01.b,2/1/2017,2017,,USA,,,February,2017 February,False,1.52,2
78,2017.02.11,2/11/2017,2017,Unprovoked,USA,M,22.0,February,2017 February,False,1.52,2
79,2016.10.14,10/14/2016,2016,Unprovoked,USA,F,66.0,October,2016 October,False,3.5,7
80,2016.10.30,10/30/2016,2016,Unprovoked,USA,M,41.0,October,2016 October,False,3.5,7
81,2016.10.02,10/2/2016,2016,Unprovoked,USA,M,21.0,October,2016 October,False,3.5,7
82,2016.10.29,10/29/2016,2016,Unprovoked,USA,M,42.0,October,2016 October,False,3.5,7
