,Case Number,Date,Year,Type,Country,Sex,Age,Month,Year Month,Fatal==True,Median Sea Level,Case Number Count
275,2007.04.22,4/22/2007,2007,Unprovoked,USA,M,12.0,April,2007 April,False,0.65,4
276,2007.04.20,4/20/2007,2007,Unprovoked,USA,M,24.0,April,2007 April,False,0.65,4
277,2006.08.00.b,8/1/2006,2006,Unprovoked,USA,F,59.0,August,2006 August,False,1.25,2
278,2006.08.29.b,8/29/2006,2006,Unprovoked,USA,M,23.0,August,2006 August,False,1.25,2
279,2006.06.15,6/15/2006,2006,Unprovoked,USA,M,24.0,June,2006 June,False,0.65,6
280,2006.06.17,6/17/2006,2006,Unprovoked,USA,M,43.0,June,2006 June,False,0.65,6
281,2006.06.26,6/26/2006,2006,Provoked,USA,M,,June,2006 June,False,0.65,6
282,2006.06.07,6/7/2006,2006,Unprovoked,USA,F,7.0,June,2006 June,False,0.65,6
283,2006.06.27,6/27/2006,2006,Unprovoked,USA,F,9.0,June,2006 June,False,0.65,6
284,2006.06.20,6/20/2006,2006,Unprovoked,USA,F,22.0,June,2006 June,False,0.65,6
285,2006.05.04,5/4/2006,2006,Unprovoked,USA,F,25.0,May,2006 May,False,0.98,7
286,2006.05.27,5/27/2006,2006,Unprovoked,USA,M,31.0,May,2006 May,False,0.98,7
287,2006.05.10,5/5/2006,2006,Unprovoked,USA,M,,May,2006 May,False,0.98,7
288,2006.05.19,5/19/2006,2006,Unprovoked,USA,F,35.0,May,2006 May,False,0.98,7
289,2006.05.24,5/24/2006,2006,Provoked,USA,M,15.0,May,2006 May,False,0.98,7
290,2006.05.31,5/31/2006,2006,Unprovoked,USA,M,26.0,May,2006 May,False,0.98,7
291,2006.05.28,5/28/2006,2006,Provoked,USA,,,May,2006 May,False,0.98,7
292,2006.04.19,4/19/2006,2006,Unprovoked,USA,F,13.0,April,2006 April,False,1.45,5
293,2006.04.03,4/3/2006,2006,Unprovoked,USA,M,11.0,April,2006 April,False,1.45,5
294,2006.04.23.R,4/23/2006,2006,,USA,M,,April,2006 April,False,1.45,5
295,2006.04.21,4/21/2006,2006,Unprovoked,USA,M,54.0,April,2006 April,False,1.45,5
296,2006.04.13,4/13/2006,2006,Provoked,USA,M,35.0,April,2006 April,False,1.45,5
297,2005.08.21,8/21/2005,2005,Unprovoked,USA,M,8.0,August,2005 August,False,1.21,6
298,2005.08.22,8/22/2005,2005,,USA,M,17.0,August,2005 August,False,1.21,6
299,2005.08.19,8/19/2005,2005,Unprovoked,USA,M,12.0,August,2005 August,False,1.21,6
300,2005.08.24.a,8/24/2005,2005,Unprovoked,USA,M,37.0,August,2005 August,False,1.21,6
301,2005.08.12,8/12/2005,2005,Unprovoked,USA,M,16.0,August,2005 August,False,1.21,6
302,2005.08.06,8/6/2005,2005,Unprovoked,USA,M,14.0,August,2005 August,False,1.21,6
303,2005.04.06,4/6/2005,2005,Unprovoked,USA,F,,April,2005 April,False,1.34,4
304,2005.04.13,4/13/2005,2005,Unprovoked,USA,F,70.0,April,2005 April,False,1.34,4
305,2005.04.09,4/9/2005,2005,,USA,M,52.0,April,2005 April,False,1.34,4
306,2005.04.07,4/7/2005,2005,Unprovoked,USA,M,37.0,April,2005 April,False,1.34,4
307,2004.11.11.b,11/11/2004,2004,Unprovoked,USA,,38.0,November,2004 November,False,-1.02,1
308,2004.10.01,10/1/2004,2004,Unprovoked,USA,M,40.0,October,2004 October,False,0.93,4
309,2004.10.10,10/10/2004,2004,Unprovoked,USA,M,,October,2004 October,False,0.93,4
310,2004.10.09.b,10/9/2004,2004,Unprovoked,USA,M,34.0,October,2004 October,False,0.93,4
311,2004.10.02,10/2/2004,2004,Unprovoked,USA,M,16.0,October,2004 October,False,0.93,4
312,2004.05.29,5/29/2004,2004,Unprovoked,USA,M,16.0,May,2004 May,False,0.59,6
313,2004.05.22.c,5/22/2004,2004,,USA,M,9.0,May,2004 May,False,0.59,6
314,2004.05.28,5/28/2004,2004,Unprovoked,USA,M,44.0,May,2004 May,False,0.59,6
315,2004.05.22.b,5/22/2004,2004,Unprovoked,USA,F,9.0,May,2004 May,False,0.59,6
316,2004.05.04,5/4/2004,2004,Unprovoked,USA,M,28.0,May,2004 May,False,0.59,6
317,2004.05.23.a,5/23/2004,2004,Unprovoked,USA,M,9.0,May,2004 May,False,0.59,6
318,2004.03.24,3/14/2004,2004,Unprovoked,USA,F,,March,2004 March,False,0.07,6
319,2004.03.28,3/28/2004,2004,Unprovoked,USA,M,,March,2004 March,False,0.07,6
320,2004.03.31.b,3/31/2004,2004,Unprovoked,USA,M,26.0,March,2004 March,False,0.07,6
321,2004.03.16,3/16/2004,2004,Unprovoked,USA,M,51.0,March,2004 March,False,0.07,6
322,2004.03.31.a,3/31/2004,2004,Unprovoked,USA,M,20.0,March,2004 March,False,0.07,6
323,2004.03.27.a,3/27/2004,2004,Unprovoked,USA,M,61.0,March,2004 March,False,0.07,6
324,2003.11.22,11/22/2003,2003,Unprovoked,USA,F,35.0,November,2003 November,False,0.32,2
325,2003.11.12.a,11/12/2003,2003,Unprovoked,USA,M,24.0,November,2003 November,False,0.32,2
326,2002.09.29,9/29/2002,2002,Unprovoked,USA,M,32.0,September,2002 September,False,0.6,9
327,2002.09.27.c,9/27/2002,2002,Unprovoked,USA,M,55.0,September,2002 September,False,0.6,9
328,2002.09.16.a,9/16/2002,2002,Unprovoked,USA,,,September,2002 September,False,0.6,9
329,2002.09.21.a,9/21/2002,2002,Unprovoked,USA,M,35.0,September,2002 September,False,0.6,9
330,2002.09.27.b,9/27/2002,2002,Provoked,USA,M,,September,2002 September,False,0.6,9
331,2002.09.30,9/30/2002,2002,Unprovoked,USA,M,47.0,September,2002 September,False,0.6,9
332,2002.09.21.b,9/21/2002,2002,Unprovoked,USA,M,24.0,September,2002 September,False,0.6,9
333,2002.09.09,9/9/2002,2002,Unprovoked,USA,M,20.0,September,2002 September,False,0.6,9
334,2002.09.05,9/5/2002,2002,Provoked,USA,M,36.0,September,2002 September,False,0.6,9
335,2001.01.09,1/9/2001,2001,Unprovoked,USA,M,,January,2001 January,False,-0.44,1
336,2000.08.27.R,8/27/2000,2000,Provoked,USA,M,,August,2000 August,False,0.17,9
337,2000.08.21,8/21/2000,2000,Unprovoked,USA,M,,August,2000 August,False,0.17,9
338,2000.08.31,8/31/2000,2000,Unprovoked,USA,M,47.0,August,2000 August,False,0.17,9
339,2000.08.11,8/11/2000,2000,,USA,M,,August,2000 August,False,0.17,9
340,2000.08.10,8/10/2000,2000,,USA,M,,August,2000 August,False,0.17,9
341,2000.08.15,8/15/2000,2000,Unprovoked,USA,M,53.0,August,2000 August,False,0.17,9
342,2000.08.30,8/30/2000,2000,Unprovoked,USA,M,69.0,August,2000 August,True,0.17,9
343,2000.08.13,8/13/2000,2000,Unprovoked,USA,M,27.0,August,2000 August,False,0.17,9
344,2000.08.12,8/12/2000,2000,Unprovoked,USA,F,44.0,August,2000 August,False,0.17,9
345,2000.02.21,2/21/2000,2000,Unprovoked,USA,M,27.0,February,2000 February,False,0.0,1
346,1999.11.30,11/30/1999,1999,Unprovoked,USA,M,19.0,November,1999 November,False,0.11,3
347,1999.11.15,11/15/1999,1999,Unprovoked,USA,M,,November,1999 November,False,0.11,3
348,1999.11.23,11/23/1999,1999,Unprovoked,USA,F,51.0,November,1999 November,False,0.11,3
349,1998.09.22,9/22/1998,1998,Unprovoked,USA,M,18.0,September,1998 September,False,1.05,3
350,1998.09.14,9/14/1998,1998,Unprovoked,USA,M,28.0,September,1998 September,False,1.05,3
351,1998.09.27,9/27/1998,1998,Unprovoked,USA,M,6.0,September,1998 September,False,1.05,3
352,1997.10.28.a,10/28/1997,1997,Unprovoked,USA,M,19.0,October,1997 October,False,2.28,4
353,1997.10.04,10/4/1997,1997,Unprovoked,USA,F,14.0,October,1997 October,False,2.28,4
354,1997.10.21,10/21/1997,1997,Unprovoked,USA,M,12.0,October,1997 October,False,2.28,4
355,1997.10.24,10/24/1997,1997,Unprovoked,USA,M,23.0,October,1997 October,False,2.28,4
356,1997.08.11.c,8/11/1997,1997,Unprovoked,USA,F,12.0,August,1997 August,False,1.81,10
357,1997.08.27,8/27/1997,1997,Unprovoked,USA,M,22.0,August,1997 August,False,1.81,10
358,1997.08.02.a,8/2/1997,1997,Unprovoked,USA,M,19.0,August,1997 August,False,1.81,10
359,1997.08.10,8/10/1997,1997,Unprovoked,USA,M,17.0,August,1997 August,False,1.81,10
360,1997.08.09,8/9/1997,1997,Unprovoked,USA,M,,August,1997 August,False,1.81,10
361,1997.08.05,8/5/1997,1997,Unprovoked,USA,F,10.0,August,1997 August,False,1.81,10
362,1997.08.04,8/4/1997,1997,Unprovoked,USA,M,,August,1997 August,False,1.81,10
363,1997.08.24,8/24/1997,1997,Unprovoked,USA,M,29.0,August,1997 August,False,1.81,10
364,1997.08.02.b,8/2/1997,1997,Unprovoked,USA,M,17.0,August,1997 August,False,1.81,10
365,1997.08.30,8/30/1997,1997,Unprovoked,USA,M,18.0,August,1997 August,False,1.81,10
366,1997.07.14,7/14/1997,1997,Unprovoked,USA,M,50.0,July,1997 July,False,1.81,1
367,1997.06.09,6/9/1997,1997,Unprovoked,USA,M,18.0,June,1997 June,False,2.14,3
368,1997.06.02,6/2/1997,1997,Unprovoked,USA,M,33.0,June,1997 June,False,2.14,3
369,1997.06.24,6/24/1997,1997,Unprovoked,USA,M,,June,1997 June,False,2.14,3
370,1995.09.03.b,9/3/1995,1995,Unprovoked,USA,M,32.0,September,1995 September,False,0.64,8
371,1995.09.28,9/28/1995,1995,Unprovoked,USA,M,25.0,September,1995 September,False,0.64,8
372,1995.09.13,9/13/1995,1995,Unprovoked,USA,M,25.0,September,1995 September,True,0.64,8
373,1995.09.30.b,9/30/1995,1995,Unprovoked,USA,M,14.0,September,1995 September,False,0.64,8
374,1995.09.17,9/17/1995,1995,Unprovoked,USA,F,19.0,September,1995 September,False,0.64,8
375,1995.09.03.a,9/3/1995,1995,,USA,M,9.0,September,1995 September,False,0.64,8
376,1995.09.19.,9/19/1995,1995,Unprovoked,USA,M,19.0,September,1995 September,False,0.64,8
377,1995.09.30.a,9/30/1995,1995,Unprovoked,USA,M,17.0,September,1995 September,False,0.64,8
378,1995.08.21,8/21/1995,1995,Unprovoked,USA,,,August,1995 August,False,1.43,14
379,1995.08.25,8/25/1995,1995,Unprovoked,USA,M,16.0,August,1995 August,False,1.43,14
380,1995.08.07,8/7/1995,1995,Unprovoked,USA,M,12.0,August,1995 August,False,1.43,14
381,1995.08.26.a,8/26/1995,1995,Unprovoked,USA,M,18.0,August,1995 August,False,1.43,14
382,1995.08.10.a,8/10/1995,1995,Unprovoked,USA,F,14.0,August,1995 August,False,1.43,14
383,1995.08.15,8/15/1995,1995,Unprovoked,USA,M,20.0,August,1995 August,False,1.43,14
384,1995.08.13.a,8/13/1995,1995,,USA,M,15.0,August,1995 August,False,1.43,14
385,1995.08.31.b,8/31/1995,1995,Unprovoked,USA,M,19.0,August,1995 August,False,1.43,14
386,1995.08.10.b,8/10/1995,1995,Unprovoked,USA,M,20.0,August,1995 August,False,1.43,14
387,1995.08.31.a,8/31/1995,1995,Unprovoked,USA,M,44.0,August,1995 August,False,1.43,14
388,1995.08.22.c,8/22/1995,1995,Unprovoked,USA,M,23.0,August,1995 August,False,1.43,14
389,1995.08.26/b,8/26/1995,1995,Unprovoked,USA,M,16.0,August,1995 August,False,1.43,14
390,1995.08.00,8/1/1995,1995,,USA,M,,August,1995 August,False,1.43,14
391,1995.08.22.a,8/22/1995,1995,Unprovoked,USA,M,19.0,August,1995 August,False,1.43,14
392,1995.06.16,6/16/1995,1995,Unprovoked,USA,F,10.0,June,1995 June,False,0.09,7
393,1995.06.23,6/23/1995,1995,Unprovoked,USA,M,13.0,June,1995 June,False,0.09,7
394,1995.06.17.b,6/17/1995,1995,Unprovoked,USA,M,,June,1995 June,False,0.09,7
395,1995.06.30,6/30/1995,1995,Unprovoked,USA,M,31.0,June,1995 June,False,0.09,7
396,1995.06.24,6/24/1995,1995,Unprovoked,USA,F,,June,1995 June,False,0.09,7
397,1995.06.17.a,6/17/1995,1995,Unprovoked,USA,M,45.0,June,1995 June,False,0.09,7
398,1995.06.14,6/14/1995,1995,Unprovoked,USA,M,38.0,June,1995 June,False,0.09,7
399,1995.00.00.c,1/1/1995,1995,,USA,M,,January,1995 January,False,1.35,2
400,1995.00.00.b,1/1/1995,1995,Unprovoked,USA,M,,January,1995 January,False,1.35,2
401,1994.05.31.b,5/31/1994,1994,Unprovoked,USA,M,24.0,May,1994 May,False,0.32,6
402,1994.05.24,5/24/1994,1994,Unprovoked,USA,F,36.0,May,1994 May,False,0.32,6
403,1994.05.31.a,5/31/1994,1994,Unprovoked,USA,M,28.0,May,1994 May,False,0.32,6
404,1994.05.23,5/23/1994,1994,Unprovoked,USA,M,26.0,May,1994 May,False,0.32,6
405,1994.05.28,5/28/1994,1994,Unprovoked,USA,M,35.0,May,1994 May,False,0.32,6
406,1994.05.15,5/15/1994,1994,Unprovoked,USA,M,22.0,May,1994 May,False,0.32,6
407,1993.08.15.b,8/15/1993,1993,,USA,,,August,1993 August,False,0.26,5
408,1993.08.19.R,8/19/1993,1993,Unprovoked,USA,,13.0,August,1993 August,False,0.26,5
409,1993.08.12,8/12/1993,1993,Unprovoked,USA,M,39.0,August,1993 August,False,0.26,5
410,1993.08.19,8/19/1993,1993,Unprovoked,USA,M,,August,1993 August,False,0.26,5
411,1993.08.15.a,8/15/1993,1993,Unprovoked,USA,F,19.0,August,1993 August,False,0.26,5
412,1993.06.00,6/1/1993,1993,Unprovoked,USA,F,65.0,June,1993 June,False,1.0,2
413,1993.06.10,6/10/1993,1993,Unprovoked,USA,M,22.0,June,1993 June,False,1.0,2
414,1992.07.21,7/21/1992,1992,Unprovoked,USA,F,42.0,July,1992 July,False,0.82,2
415,1992.07.23,7/23/1992,1992,,USA,M,,July,1992 July,False,0.82,2
416,1989.11.12,11/12/1989,1989,,USA,M,,November,1989 November,False,-0.5,1
417,1988.10.11,10/11/1988,1988,Unprovoked,USA,M,30.0,October,1988 October,False,-0.86,5
418,1988.10.10,10/10/1988,1988,Unprovoked,USA,M,23.0,October,1988 October,False,-0.86,5
419,1988.10.00,10/1/1988,1988,Unprovoked,USA,F,23.0,October,1988 October,False,-0.86,5
420,1988.10.14,10/14/1988,1988,Unprovoked,USA,M,15.0,October,1988 October,False,-0.86,5
421,1988.10.23,10/23/1988,1988,Unprovoked,USA,M,21.0,October,1988 October,False,-0.86,5
422,1988.07.04.b,7/4/1988,1988,Unprovoked,USA,M,37.0,July,1988 July,False,-0.63,2
423,1988.07.11,7/11/1988,1988,Unprovoked,USA,F,15.0,July,1988 July,False,-0.63,2
424,1988.06.16,6/16/1988,1988,Unprovoked,USA,M,42.0,June,1988 June,False,-0.19,4
425,1988.06.05,6/5/1988,1988,Unprovoked,USA,M,12.0,June,1988 June,False,-0.19,4
426,1988.06.01,6/1/1988,1988,Unprovoked,USA,M,25.0,June,1988 June,False,-0.19,4
427,1988.06.09,6/9/1988,1988,Unprovoked,USA,M,37.0,June,1988 June,False,-0.19,4
428,1988.03.25,3/25/1988,1988,Unprovoked,USA,M,,March,1988 March,False,-0.79,2
429,1988.03.31,3/31/1988,1988,Unprovoked,USA,F,30.0,March,1988 March,False,-0.79,2
430,1985.10.18,10/18/1985,1985,Unprovoked,USA,M,33.0,October,1985 October,False,0.16,4
431,1985.10.05,10/5/1985,1985,Provoked,USA,M,,October,1985 October,False,0.16,4
432,1985.10.12,10/12/1985,1985,Unprovoked,USA,M,24.0,October,1985 October,False,0.16,4
433,1985.10.22,10/22/1985,1985,Unprovoked,USA,M,46.0,October,1985 October,False,0.16,4
434,1984.09.22.b,9/22/1984,1984,Unprovoked,USA,M,,September,1984 September,False,0.95,8
435,1984.09.22.a,9/22/1984,1984,Unprovoked,USA,M,16.0,September,1984 September,False,0.95,8
436,1984.09.23,9/23/1984,1984,Unprovoked,USA,M,17.0,September,1984 September,False,0.95,8
437,1984.09.19,9/19/1984,1984,Unprovoked,USA,,,September,1984 September,False,0.95,8
438,1984.09.15,9/15/1984,1984,Unprovoked,USA,M,28.0,September,1984 September,True,0.95,8
439,1984.09.17,9/17/1984,1984,Unprovoked,USA,M,,September,1984 September,False,0.95,8
440,1984.09.30.b,9/30/1984,1984,Unprovoked,USA,M,25.0,September,1984 September,False,0.95,8
441,1984.09.30.a,9/30/1984,1984,Unprovoked,USA,M,,September,1984 September,False,0.95,8
442,1983.00.00.b,1/1/1983,1983,Provoked,USA,M,,January,1983 January,False,1.56,2
443,1983.01.24,1/24/1983,1983,Provoked,USA,M,43.0,January,1983 January,False,1.56,2
444,1981.05.16,5/16/1981,1981,Unprovoked,USA,M,,May,1981 May,False,0.4,3
445,1981.05.24,5/24/1981,1981,Unprovoked,USA,M,,May,1981 May,True,0.4,3
446,1981.05.19,5/19/1981,1981,Unprovoked,USA,M,32.0,May,1981 May,False,0.4,3
447,1981.03.24,3/24/1981,1981,Unprovoked,USA,M,24.0,March,1981 March,False,0.25,2
448,1981.03.25,3/25/1981,1981,Unprovoked,USA,M,19.0,March,1981 March,False,0.25,2
449,1979.03.11,3/11/1979,1979,Unprovoked,USA,M,,March,1979 March,False,-0.19,2
450,1979.03.24,3/24/1979,1979,Unprovoked,USA,M,27.0,March,1979 March,False,-0.19,2
451,1978.08.05,8/5/1978,1978,Unprovoked,USA,M,,August,1978 August,False,-0.25,2
452,1978.08.01.R,8/1/1978,1978,Unprovoked,USA,M,27.0,August,1978 August,False,-0.25,2
453,1977.08.05,8/5/1977,1977,,USA,M,17.0,August,1977 August,False,0.07,2
454,1977.08.14,8/14/1977,1977,Unprovoked,USA,M,20.0,August,1977 August,False,0.07,2
455,1977.07.02,7/2/1977,1977,,USA,M,21.0,July,1977 July,False,-0.9,1
456,1976.00.00.b,1/1/1976,1976,Unprovoked,USA,M,,January,1976 January,True,-0.46,2
457,1976.01.08,1/8/1976,1976,Unprovoked,USA,M,25.0,January,1976 January,False,-0.46,2
458,1975.07.15,7/15/1975,1975,Unprovoked,USA,F,14.0,July,1975 July,False,0.21,6
459,1975.07.26.b,7/26/1975,1975,Unprovoked,USA,M,24.0,July,1975 July,False,0.21,6
460,1975.07.23,7/23/1975,1975,Unprovoked,USA,M,23.0,July,1975 July,False,0.21,6
461,1975.07.04,7/4/1975,1975,Unprovoked,USA,M,16.0,July,1975 July,False,0.21,6
462,1975.07.19,7/19/1975,1975,Unprovoked,USA,M,34.0,July,1975 July,False,0.21,6
463,1975.07.30.b,7/30/1975,1975,,USA,F,62.0,July,1975 July,True,0.21,6
464,1975.06.15,6/15/1975,1975,Unprovoked,USA,M,27.0,June,1975 June,False,0.35,5
465,1975.06.23.b,6/23/1975,1975,Unprovoked,USA,M,18.0,June,1975 June,False,0.35,5
466,1975.06.02.R,6/2/1975,1975,Unprovoked,USA,M,20.0,June,1975 June,False,0.35,5
467,1975.06.23.a,6/23/1975,1975,Unprovoked,USA,F,15.0,June,1975 June,False,0.35,5
468,1975.06.00.c,6/1/1975,1975,Provoked,USA,M,,June,1975 June,False,0.35,5
469,1975.05.25,5/25/1975,1975,Unprovoked,USA,M,17.0,May,1975 May,False,0.45,2
470,1975.05.20,5/20/1975,1975,Unprovoked,USA,F,10.0,May,1975 May,False,0.45,2
471,1969.08.22,8/22/1969,1969,Provoked,USA,M,28.0,August,1969 August,False,0.57,5
472,1969.08.29,8/29/1969,1969,Unprovoked,USA,M,,August,1969 August,False,0.57,5
473,1969.08.01,8/2/1969,1969,Unprovoked,USA,M,13.0,August,1969 August,False,0.57,5
474,1969.08.02,8/2/1969,1969,Unprovoked,USA,M,15.0,August,1969 August,False,0.57,5
475,1969.04.19,8/19/1969,1969,Provoked,USA,M,,August,1969 August,False,0.57,5
476,1968.10.13,10/13/1968,1968,Unprovoked,USA,M,,October,1968 October,False,-0.07,1
477,1966.08.00.a,8/1/1966,1966,Unprovoked,USA,M,8.0,August,1966 August,False,-0.62,1
478,1964.06.24,6/24/1964,1964,,USA,,,June,1964 June,False,-1.55,2
479,1964.06.28,6/28/1964,1964,,USA,F,29.0,June,1964 June,False,-1.55,2
480,1963.11.12,11/12/1963,1963,Provoked,USA,M,,November,1963 November,False,0.33,1
481,1963.07.11,7/11/1963,1963,Provoked,USA,M,24.0,July,1963 July,False,-0.94,2
482,1963.07.15,7/15/1963,1963,Unprovoked,USA,M,14.0,July,1963 July,False,-0.94,2
483,1962.10.06,10/6/1962,1962,,USA,F,43.0,October,1962 October,False,0.08,1
484,1962.08.26,8/26/1962,1962,,USA,,,August,1962 August,False,-0.51,4
485,1962.08.19,8/19/1962,1962,Unprovoked,USA,M,40.0,August,1962 August,True,-0.51,4
486,1962.08.29,8/29/1962,1962,Provoked,USA,M,39.0,August,1962 August,False,-0.51,4
487,1962.08.12,8/12/1962,1962,Unprovoked,USA,M,24.0,August,1962 August,False,-0.51,4
488,1962.01.14.c,1/14/1962,1962,Unprovoked,USA,M,29.0,January,1962 January,False,-1.68,1
489,1961.04.16.b,4/16/1961,1961,Unprovoked,USA,M,22.0,April,1961 April,False,0.05,2
490,1961.04.30,4/30/1961,1961,,USA,M,10.0,April,1961 April,False,0.05,2
491,1991.06.07.b,6/7/1991,1991,Unprovoked,USA,M,31.0,June,1991 June,False,-0.19,2
492,1991.06.26,6/26/1991,1991,Unprovoked,USA,M,18.0,June,1991 June,False,-0.19,2
493,2020.08.28,8/28/2020,2020,Unprovoked,USA,M,,August,2020 August,False,2.08,8
494,2020.08.19,8/19/2020,2020,,USA,F,,August,2020 August,False,2.08,8
495,2020.08.30,8/30/2020,2020,Unprovoked,USA,M,12.0,August,2020 August,False,2.08,8
496,2020.08.22,8/22/2020,2020,Unprovoked,USA,M,14.0,August,2020 August,False,2.08,8
497,2020.08.10,8/10/2020,2020,Provoked,USA,M,55.0,August,2020 August,False,2.08,8
498,2020.08.20,8/20/2020,2020,Unprovoked,USA,F,50.0,August,2020 August,False,2.08,8
499,2020.08.02,8/2/2020,2020,Unprovoked,USA,F,,August,2020 August,False,2.08,8
500,2020.08.23,8/23/2020,2020,Unprovoked,USA,M,23.0,August,2020 August,False,2.08,8
501,2020.01.13,1/13/2020,2020,Unprovoked,USA,M,26.0,January,2020 January,False,1.46,1
502,2019.10.04.R,10/4/2019,2019,Unprovoked,USA,M,,October,2019 October,False,1.15,4
503,2019.10.05.a,10/5/2019,2019,,USA,M,51.0,October,2019 October,False,1.15,4
504,2019.10.08,10/8/2019,2019,Unprovoked,USA,M,20.0,October,2019 October,False,1.15,4
505,2019.10.27,10/27/2019,2019,Provoked,USA,M,32.0,October,2019 October,False,1.15,4
506,2019.06.10,6/10/2019,2019,Unprovoked,USA,M,19.0,June,2019 June,False,2.42,5
507,2019.06.16.a,6/16/2019,2019,Unprovoked,USA,M,64.0,June,2019 June,False,2.42,5
508,2019.06.30,6/30/2019,2019,Unprovoked,USA,M,18.0,June,2019 June,False,2.42,5
509,2019.06.02,6/2/2019,2019,Unprovoked,USA,F,17.0,June,2019 June,False,2.42,5
510,2019.06.16.b,6/16/2019,2019,Unprovoked,USA,M,8.0,June,2019 June,False,2.42,5
511,2019.05.14.b,5/14/2019,2019,Unprovoked,USA,M,,May,2019 May,False,2.99,6
512,2019.05.08,5/8/2019,2019,Unprovoked,USA,F,34.0,May,2019 May,False,2.99,6
513,2019.05.01,5/1/2019,2019,Unprovoked,USA,M,,May,2019 May,False,2.99,6
514,2019.05.07,5/7/2019,2019,Unprovoked,USA,F,28.0,May,2019 May,False,2.99,6
515,2019.05.25.b,5/25/2019,2019,Unprovoked,USA,M,65.0,May,2019 May,True,2.99,6
516,2019.05.20,5/20/2019,2019,Unprovoked,USA,M,67.0,May,2019 May,False,2.99,6
517,2018.10.23.b,10/23/2018,2018,Unprovoked,USA,M,29.0,October,2018 October,False,3.03,4
518,2018.10.23.c,10/23/2018,2018,Unprovoked,USA,F,,October,2018 October,False,3.03,4
519,2018.10.23.a,10/23/2018,2018,Unprovoked,USA,M,,October,2018 October,False,3.03,4
520,2018.10.11,10/11/2018,2018,Unprovoked,USA,F,,October,2018 October,False,3.03,4
521,2017.09.20,9/20/2017,2017,Unprovoked,USA,M,,September,2017 September,False,1.53,9
522,2017.09.13,9/13/2017,2017,Unprovoked,USA,M,18.0,September,2017 September,False,1.53,9
523,2017.09.25.b,9/25/2017,2017,Unprovoked,USA,M,,September,2017 September,False,1.53,9
524,2017.09.02.b,9/2/2017,2017,Unprovoked,USA,F,,September,2017 September,False,1.53,9
525,2017.09.16.a,9/16/2017,2017,Unprovoked,USA,M,28.0,September,2017 September,False,1.53,9
526,2017.09.24.b,9/24/2017,2017,,USA,M,33.0,September,2017 September,False,1.53,9
527,2017.09.02.a,9/2/2017,2017,Unprovoked,USA,M,17.0,September,2017 September,False,1.53,9
528,2017.09.02.c,9/2/2017,2017,Unprovoked,USA,M,,September,2017 September,False,1.53,9
529,2017.09.24.a,9/24/2017,2017,Unprovoked,USA,M,,September,2017 September,False,1.53,9
530,2016.09.18.a,9/18/2016,2016,Unprovoked,USA,M,43.0,September,2016 September,False,1.18,9
531,2016.09.07,9/7/2016,2016,Unprovoked,USA,F,51.0,September,2016 September,False,1.18,9
532,2016.09.18.c,9/18/2016,2016,Unprovoked,USA,M,16.0,September,2016 September,False,1.18,9
533,2016.09.11,9/11/2016,2016,Unprovoked,USA,M,65.0,September,2016 September,False,1.18,9
534,2016.09.01,9/1/2016,2016,Unprovoked,USA,M,22.0,September,2016 September,False,1.18,9
535,2016.09.18.b,9/18/2016,2016,Unprovoked,USA,M,36.0,September,2016 September,False,1.18,9
536,2016.09.17.b,9/17/2016,2016,Unprovoked,USA,M,43.0,September,2016 September,False,1.18,9
537,2016.09.05.b,9/5/2016,2016,Unprovoked,USA,F,12.0,September,2016 September,False,1.18,9
538,2016.09.04,9/4/2016,2016,Unprovoked,USA,M,9.0,September,2016 September,False,1.18,9
539,2016.07.16.b,7/16/2016,2016,Unprovoked,USA,F,9.0,July,2016 July,False,1.4,10
540,2016.07.15.a,7/15/2016,2016,Unprovoked,USA,M,,July,2016 July,False,1.4,10
541,2016.07.15.b,7/15/2016,2016,Unprovoked,USA,M,61.0,July,2016 July,False,1.4,10
542,2016.07.07.a,7/7/2016,2016,,USA,M,,July,2016 July,False,1.4,10
543,2016.07.16.a,7/16/2016,2016,Unprovoked,USA,F,11.0,July,2016 July,False,1.4,10
544,2016.07.27,7/27/2016,2016,Provoked,USA,M,43.0,July,2016 July,False,1.4,10
545,2016.07.06,7/6/2016,2016,Unprovoked,USA,F,42.0,July,2016 July,False,1.4,10
546,2016.07.17,7/17/2016,2016,,USA,,,July,2016 July,False,1.4,10
547,2016.07.08,7/8/2016,2016,,USA,M,,July,2016 July,False,1.4,10
548,2016.07.07.b,7/7/2016,2016,Provoked,USA,M,59.0,July,2016 July,False,1.4,10
549,2016.06.11,6/11/2016,2016,Unprovoked,USA,M,19.0,June,2016 June,False,1.56,9
550,2016.06.07,6/7/2016,2016,,USA,M,27.0,June,2016 June,False,1.56,9
551,2016.06.15.b,6/15/2016,2016,Unprovoked,USA,M,,June,2016 June,False,1.56,9
552,2016.06.27,6/27/2016,2016,Unprovoked,USA,M,35.0,June,2016 June,False,1.56,9
553,2016.06.05.b,6/5/2016,2016,Unprovoked,USA,M,64.0,June,2016 June,False,1.56,9
554,2016.06.21.a,6/21/2016,2016,Unprovoked,USA,M,,June,2016 June,False,1.56,9
555,2016.06.25,6/25/2016,2016,Unprovoked,USA,M,11.0,June,2016 June,False,1.56,9
556,2016.06.21.b,6/21/2016,2016,Unprovoked,USA,M,42.0,June,2016 June,False,1.56,9
