,Median Sea Level 1961-1990,Median Sea Level 1991-2021
297,1.25,-0.12
298,-1.06,0.09
299,-0.84,1.7
300,0.55,0.11
301,-0.29,1.81
302,0.11,-0.69
303,-0.11,0.22
304,0.13,2.37
305,-0.56,-0.66
306,-0.05,1.81
307,-1.06,0.14
308,0.85,0.09
309,-0.29,2.32
310,-0.68,0.05
311,-0.46,-0.3
312,0.21,0.36
313,-0.62,0.65
314,0.35,1.14
315,-0.37,1.17
316,-0.25,0.69
317,-1.53,0.89
318,-0.28,1.4
319,-0.22,0.26
320,0.25,2.31
321,0.29,0.21
322,0.16,2.83
323,0.12,3.36
324,0.45,0.07
325,-0.6,1.0
326,-0.89,0.34
327,0.45,0.98
328,1.56,1.28
329,-1.21,1.92
330,0.21,2.02
331,-0.65,0.0
332,0.32,0.59
333,1.1,2.57
334,-0.14,1.19
335,-0.76,-0.06
336,-0.29,0.22
337,0.2,1.89
338,0.16,0.87
339,-0.44,0.36
340,0.32,-0.53
341,0.08,1.52
342,0.48,-0.12
343,1.22,0.7
344,0.18,-0.69
345,-0.2,1.64
346,-0.97,-0.39
347,-0.17,0.63
348,0.18,0.65
349,0.57,0.65
350,-0.21,0.32
351,0.0,0.9
352,0.34,1.43
353,-1.11,3.36
354,0.78,-0.01
355,-0.76,1.2
356,-0.04,1.36
357,0.32,1.17
358,0.45,1.91
359,0.05,0.37
360,-0.02,1.98
361,1.37,2.44
362,-0.68,-0.69
363,-0.9,-0.3
364,0.16,1.7
365,1.37,-0.06
366,0.03,1.21
367,0.97,0.32
368,-0.14,1.47
369,0.02,0.43
370,-0.51,1.84
371,-0.31,0.95
372,0.25,3.68
373,0.94,0.0
374,-0.31,-0.53
375,-0.05,3.5
376,-0.72,0.65
377,-0.28,0.07
378,-0.71,0.36
379,0.85,1.53
380,-0.9,0.35
381,-0.21,0.12
382,0.26,0.12
383,0.86,0.41
384,0.05,1.1
385,0.86,2.37
386,0.41,0.24
387,0.33,-0.56
388,-0.79,0.81
389,-0.86,1.55
390,0.01,0.36
391,0.86,1.6
392,0.84,3.13
393,0.79,1.43
394,0.01,1.77
395,-0.64,1.54
396,0.02,2.71
397,0.85,0.89
398,-0.25,1.9
399,-0.14,2.6
400,0.34,0.14
401,0.22,0.24
402,1.43,1.54
403,-0.39,-0.53
404,-1.26,0.82
405,-0.82,0.13
406,-0.66,0.82
407,0.96,0.41
408,-0.89,1.18
409,0.08,1.53
410,-0.41,-0.39
411,0.18,1.98
412,-0.3,1.22
413,-0.02,1.91
414,-0.55,0.34
415,-0.14,2.16
416,0.44,2.75
417,-0.9,0.36
418,-0.46,1.15
419,-0.61,-0.3
420,-0.41,0.12
421,-0.2,-0.11
422,0.56,0.07
423,-0.86,0.9
424,-0.41,0.97
425,-0.56,2.83
426,0.94,0.17
427,0.48,0.43
428,0.61,-0.06
429,0.52,1.4
430,-0.08,1.7
431,-0.43,1.28
432,0.95,0.06
433,-0.9,2.83
434,-1.38,1.18
435,0.22,1.14
436,-0.47,0.43
437,-0.94,0.12
438,-0.55,0.05
439,-1.68,-0.17
440,-0.21,2.2
441,1.25,1.53
442,0.85,0.82
443,0.57,2.37
444,-0.55,1.4
445,-0.47,1.21
446,0.79,-0.67
447,-0.59,1.54
448,0.32,0.4
449,-0.58,2.44
450,0.57,1.18
451,-0.1,1.4
452,-0.07,0.82
453,0.3,0.82
454,0.07,1.15
455,1.11,1.28
